Qual era a idade de Arthas Menethil quando Varian Wrynn chegou em Lordaeron com a notícia da queda de Ventobravo?,$9$ anos.
Quem se voluntariou para treinar Arthas em combate após vê-lo lutando contra orcs imaginários?,Muradin Bronzebeard.
Qual era a fonte da praga que infectou a cidade de Stratholme através da alimentação?,Carregamentos de grãos vindos de Andorhal.
Por que Arthas destituiu Uther e a Ordem do Punho de Prata de seus cargos em Stratholme?,Pela recusa em ajudá-lo no expurgo da população da cidade.
Qual entidade de Dalaran foi responsável por investigar possíveis influências necromânticas na praga de Lordaeron?,Os magos do Kirin Tor.
Onde Arthas encontrou a lâmina rúnica Frostmourne?,"Na Caverna de Frostmourne, em Nortúndria."
Qual foi o preço imediato pago por Arthas ao empunhar a Frostmourne?,A perda de sua alma e sua descida à perdição.
Quem foi o criador original do Rei Lich?,O lorde demônio Kil'jaeden.
Qual era a identidade original do Rei Lich antes de se fundir com Arthas?,O xamã orc Ner'zhul.
O que causou a diminuição dos poderes de Arthas no início de sua jornada de retorno a Nortúndria?,"Uma rachadura em sua prisão, o Trono de Gelo."
Quais eram os nomes dos três Dreadlords que vigiavam Lordaeron na ausência de Arthas?,"Balnazzar, Detheroc e Varimathras."
"Na missão 'King Arthas', qual herói lidera as forças de Kel'Thuzad?",Um Arquimago.
Qual é a principal discrepância narrativa sobre o corpo de Sylvanas entre o livro e o jogo 'The Frozen Throne'?,"No livro ela permanece como banshee, enquanto no jogo possui um corpo físico."
Qual personagem de Dalaran convocou o Conselho dos Seis para reuniões extraordinárias sobre a praga?,Antonidas.
Onde Arthas observou Thrall lutando em uma arena de gladiadores pela primeira vez?,No Forte de Durnholde.
Qual cavalo serviu como a montaria pessoal de Arthas?,Invincible.
"Qual paladino desafiou Arthas durante o massacre de refugiados, afirmando que ele usava a coroa do pai sem mérito?","Halahk, o Portador da Vida."
"Segundo o intermédio 'Boiling Point', por que o Rei Lich lançou a Frostmourne para fora do gelo?",Para que ela encontrasse Arthas e o guiasse até o Trono de Gelo.
Qual o limite máximo de refugiados humanos que podiam escapar antes da falha da missão em Lordaeron?,$20$ pessoas.
Qual foi a mudança de Arthas em relação ao ferimento de Muradin na Caverna de Frostmourne apresentada no romance?,"Arthas tenta curar Muradin, mas falha ao abandonar a Luz."
Qual correspondente enviou as informações sobre Stratholme para a Gazeta de Azeroth?,Arquimago de Dalaran.
Qual organização arqueológica não havia catalogado as estruturas subterrâneas encontradas perto de Andorhal?,A Liga dos Exploradores.
"Quantos anos o romance afirma que o Rei Terenas governou Lordaeron, criando uma discrepância com o jogo?",$50$ anos.
"Segundo Tichondrius, qual raça forjou a lâmina Frostmourne?",Os Nathrezim.
Onde ocorreu o encontro entre Sylvanas e os Dreadlords na versão de 'Warcraft III'?,Nas Clareiras de Tirisfal.
"Na missão 'King Arthas', qual item Sylvanas carrega inicialmente?",O Livro dos Mortos.
Qual era o objetivo principal da missão 'Slay the Paladins'?,Destruir os três Altares dos paladinos.
